chem. formula;LG;serial-id;ICSD;source;indirect gap with SOC (eV);direct gap with SOC (eV);topological classification at Ef with SOC;topological subclassification at Ef with SOCe;topological classification at Ef without SOC;topological subclassification at Ef without SOC;experimental;comput. exfoliable; comput. dynamically stable; comput. thermodynamically stable;twistable semimetal;twistable insulator
As1 Cu1 Li2;78;1.2.130;n.a.;https://www.materialscloud.org/discover/mc2d/details/Li2CuAs;0.0295;0.0578;TI;NLC;SM;ESFD;n.a.;Yes;n.a.;n.a.;No;No
Ir2 Ta2 Te8;15;1.2.14;n.a.;https://www.materialscloud.org/discover/mc2d/details/TaIrTe4;0.0252;0.0252;TI;NLC;n.a.;n.a.;n.a.;Yes;n.a.;n.a.;No;No
Rh2 Ta2 Te8;15;1.2.15;n.a.;https://www.materialscloud.org/discover/mc2d/details/TaRhTe4;0.0622;0.0622;TI;NLC;SM;ES;n.a.;Yes;n.a.;n.a.;No;No
Co4 Ta4 Te8;17;1.2.20;n.a.;https://www.materialscloud.org/discover/mc2d/details/TaCoTe2;0.0053;0.0074;TI;NLC;SM;ES;n.a.;Yes;n.a.;n.a.;No;No
Hg10 O4;17;1.2.23;n.a.;https://www.materialscloud.org/discover/mc2d/details/Hg5O2;0.0626;0.0626;TI;NLC;SM;ES;n.a.;Yes;n.a.;n.a.;No;No
Hg4 N4 S4;17;1.2.24;n.a.;https://www.materialscloud.org/discover/mc2d/details/Hg4N4S4;0.0068;0.0068;TI;NLC;SM;ES;n.a.;Yes;n.a.;n.a.;No;No
Hg8 O4;17;1.2.25;n.a.;https://www.materialscloud.org/discover/mc2d/details/Hg2O;0.0762;0.0762;TI;NLC;SM;ES;n.a.;Yes;n.a.;n.a.;Yes;No
Cr2 P2 S8;18;1.2.27;n.a.;https://www.materialscloud.org/discover/mc2d/details/CrPS4;0.015;0.015;TI;SEBR;SM;ES;n.a.;Yes;n.a.;n.a.;No;No
Cu4 Te6 Ti2;18;1.2.28;n.a.;https://www.materialscloud.org/discover/mc2d/details/TiCu2Te3;0.0056;0.0067;TI;SEBR;SM;ES;n.a.;Yes;n.a.;n.a.;No;No
Hg3 S2;18;1.2.29;n.a.;https://www.materialscloud.org/discover/mc2d/details/Hg3S2;0.0466;0.0466;TI;SEBR;SM;ES;n.a.;Yes;n.a.;n.a.;Yes;No
Fe2 O12 Te4;2;1.2.3;n.a.;https://www.materialscloud.org/discover/mc2d/details/FeTe2O6;0.0142;0.0231;TI;NLC;SM;NLC-SM;n.a.;Yes;n.a.;n.a.;No;No
H8 As4 O16 Zn1;2;1.2.5;n.a.;https://www.materialscloud.org/discover/mc2d/details/ZnAs4O16H8;0.0286;0.0291;TI;NLC;SM;NLC-SM;n.a.;Yes;n.a.;n.a.;No;No
